Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
     Band 1	    0	  100	17.050289	 6.737316
     Band 2	    0	  100	23.567602	 8.352275
     Band 3	    0	  100	25.984332	 9.817175
     Band 4	    0	  100	35.181641	10.025017
     Band 5	    0	  100	29.248176	 9.330404
     Band 6	    0	  100	22.593254	 7.983674

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 1     	    0	     21	     21	  0.0082	  0.0082
           	    1	     58	     79	  0.0227	  0.0309
           	    2	    266	    345	  0.1039	  0.1348
           	    3	   2080	   2425	  0.8125	  0.9473
           	    4	   2205	   4630	  0.8613	  1.8086
           	    5	   2411	   7041	  0.9418	  2.7504
           	    6	   5901	  12942	  2.3051	  5.0555
           	    7	   3618	  16560	  1.4133	  6.4687
           	    8	   3699	  20259	  1.4449	  7.9137
           	    9	   9469	  29728	  3.6988	 11.6125
           	   10	   6613	  36341	  2.5832	 14.1957
           	   11	   7843	  44184	  3.0637	 17.2594
           	   12	  20494	  64678	  8.0055	 25.2648
           	   13	  12137	  76815	  4.7410	 30.0059
           	   14	  12200	  89015	  4.7656	 34.7715
           	   15	  25590	 114605	  9.9961	 44.7676
           	   16	  13611	 128216	  5.3168	 50.0844
           	   17	  12753	 140969	  4.9816	 55.0660
           	   18	  23625	 164594	  9.2285	 64.2945
           	   19	  10428	 175022	  4.0734	 68.3680
           	   20	   9379	 184401	  3.6637	 72.0316
           	   21	  18044	 202445	  7.0484	 79.0801
           	   22	   8091	 210536	  3.1605	 82.2406
           	   23	   6947	 217483	  2.7137	 84.9543
           	   24	  11577	 229060	  4.5223	 89.4766
           	   25	   4399	 233459	  1.7184	 91.1949
           	   26	   3409	 236868	  1.3316	 92.5266
           	   27	   2755	 239623	  1.0762	 93.6027
           	   28	   4088	 243711	  1.5969	 95.1996
           	   29	   1526	 245237	  0.5961	 95.7957
           	   30	   1206	 246443	  0.4711	 96.2668
           	   31	   1979	 248422	  0.7730	 97.0398
           	   32	    787	 249209	  0.3074	 97.3473
           	   33	    752	 249961	  0.2938	 97.6410
           	   34	   1348	 251309	  0.5266	 98.1676
           	   35	    574	 251883	  0.2242	 98.3918
           	   36	    548	 252431	  0.2141	 98.6059
           	   37	    985	 253416	  0.3848	 98.9906
           	   38	    424	 253840	  0.1656	 99.1563
           	   39	    364	 254204	  0.1422	 99.2984
           	   40	    609	 254813	  0.2379	 99.5363
           	   41	    219	 255032	  0.0855	 99.6219
           	   42	    162	 255194	  0.0633	 99.6852
           	   43	    227	 255421	  0.0887	 99.7738
           	   44	     82	 255503	  0.0320	 99.8059
           	   45	     85	 255588	  0.0332	 99.8391
           	   46	    102	 255690	  0.0398	 99.8789
           	   47	     36	 255726	  0.0141	 99.8930
           	   48	     41	 255767	  0.0160	 99.9090
           	   49	     29	 255796	  0.0113	 99.9203
           	   50	     43	 255839	  0.0168	 99.9371
           	   51	      9	 255848	  0.0035	 99.9406
           	   52	     13	 255861	  0.0051	 99.9457
           	   53	     18	 255879	  0.0070	 99.9527
           	   54	      7	 255886	  0.0027	 99.9555
           	   55	     12	 255898	  0.0047	 99.9602
           	   56	     12	 255910	  0.0047	 99.9648
           	   57	      4	 255914	  0.0016	 99.9664
           	   58	     10	 255924	  0.0039	 99.9703
           	   59	     10	 255934	  0.0039	 99.9742
           	   60	      3	 255937	  0.0012	 99.9754
           	   61	      2	 255939	  0.0008	 99.9762
           	   62	      7	 255946	  0.0027	 99.9789
           	   63	      2	 255948	  0.0008	 99.9797
           	   64	      4	 255952	  0.0016	 99.9813
           	   65	      5	 255957	  0.0020	 99.9832
           	   66	      4	 255961	  0.0016	 99.9848
           	   67	      1	 255962	  0.0004	 99.9852
           	   68	      6	 255968	  0.0023	 99.9875
           	   69	      1	 255969	  0.0004	 99.9879
           	   70	      5	 255974	  0.0020	 99.9898
           	   71	      4	 255978	  0.0016	 99.9914
           	   72	      0	 255978	  0.0000	 99.9914
           	   73	      2	 255980	  0.0008	 99.9922
           	   74	      2	 255982	  0.0008	 99.9930
           	   75	      5	 255987	  0.0020	 99.9949
           	   76	      0	 255987	  0.0000	 99.9949
           	   77	      1	 255988	  0.0004	 99.9953
           	   78	      3	 255991	  0.0012	 99.9965
           	   79	      0	 255991	  0.0000	 99.9965
           	   80	      0	 255991	  0.0000	 99.9965
           	   81	      0	 255991	  0.0000	 99.9965
           	   82	      1	 255992	  0.0004	 99.9969
           	   83	      1	 255993	  0.0004	 99.9973
           	   84	      0	 255993	  0.0000	 99.9973
           	   85	      1	 255994	  0.0004	 99.9977
           	   86	      0	 255994	  0.0000	 99.9977
           	   87	      0	 255994	  0.0000	 99.9977
           	   88	      1	 255995	  0.0004	 99.9980
           	   89	      1	 255996	  0.0004	 99.9984
           	   90	      1	 255997	  0.0004	 99.9988
           	   91	      0	 255997	  0.0000	 99.9988
           	   92	      1	 255998	  0.0004	 99.9992
           	   93	      1	 255999	  0.0004	 99.9996
           	   94	      0	 255999	  0.0000	 99.9996
           	   95	      0	 255999	  0.0000	 99.9996
           	   96	      0	 255999	  0.0000	 99.9996
           	   97	      0	 255999	  0.0000	 99.9996
           	   98	      0	 255999	  0.0000	 99.9996
           	   99	      0	 255999	  0.0000	 99.9996
           	  100	      1	 256000	  0.0004	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 2     	    0	      1	      1	  0.0004	  0.0004
           	    1	      2	      3	  0.0008	  0.0012
           	    2	     24	     27	  0.0094	  0.0105
           	    3	      0	     27	  0.0000	  0.0105
           	    4	    518	    545	  0.2023	  0.2129
           	    5	   1919	   2464	  0.7496	  0.9625
           	    6	   2117	   4581	  0.8270	  1.7895
           	    7	      0	   4581	  0.0000	  1.7895
